"동별(1)",동별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"동별(1)",동별(2),소계,소계,소계,소계,소계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,소계,소계,소계,소계,소계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,소계,소계,소계,소계,소계,농업 임업 및 어업,농업 임업 및 어업,농업 임업 및 어업,광업,광업,광업,제조업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,건설업,도매 및 소매업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,소계,소계,소계,소계,소계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,소계,소계,소계,소계,소계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
"동별(1)",동별(2),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,종사자수,종사자수,사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,사업체수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,여성대표자,소계,남,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,소계,여,소계,여성대표자,소계,남,여,소계,여성대표자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",소계,822863,278152,5119913,2848150,2271763,29,469,21,66,61583,277920,139,5576,445,8963,22228,385208,228295,888464,93702,274793,130195,474515,23206,345030,11165,268252,39677,158593,38937,437822,15950,478382,1296,138150,34762,341732,28683,358563,22913,86452,69637,190963,823385,279711,5210936,2878227,2332709,30,462,24,81,58970,266500,183,6083,451,9139,21825,379353,223955,896326,95412,272618,130595,495092,23384,357761,11220,262273,41282,158063,41654,463519,16198,496433,1282,140121,35377,346219,28824,378366,23025,91104,69694,191423,823624,281318,5226997,2885614,2341383,24,426,77,20,43,7,57321,265273,109358,225,6234,1330,475,9158,1409,21626,362785,50235,220055,899642,403632,94759,264181,45282,132475,493912,290086,23356,360062,116219,11444,266110,127397,43611,166094,59818,42782,485150,176555,16354,472573,235381,1296,141582,53867,35761,351320,214507,29168,400143,316091,23527,92752,43487,69345,189557,96645,1211053,414281,5868926,3304944,2563982,170,835,25,94,78642,284356,824,6841,728,10342,67598,515446,352424,1043507,105405,279478,145757,432643,55937,459805,22538,293104,73431,213544,85480,590946,34072,505800,1307,150905,44933,354237,31268,443245,30044,88627,80470,195171,1188091,407948,5771226,3218529,2552697,154,753,25,135,76870,267489,683,6873,720,10610,67382,449060,335817,1009123,110339,274477,141679,424071,57615,490621,23328,299058,72984,205378,82402,597759,31460,492983,1303,155790,46855,361663,31866,450396,28722,88491,77887,186496
"합계",종로구,40490,13577,268702,154100,114602,3,30,4,10,4450,13078,7,363,6,136,339,30754,17025,44263,1350,6818,6724,26577,883,18628,551,21634,1301,7223,1499,20315,1242,18625,90,16504,852,13317,732,15954,926,6198,2506,8275,39952,13442,265017,152717,112300,3,17,4,10,4437,13071,12,350,7,126,328,30305,16587,43116,1388,7260,6625,27639,858,18599,567,19260,1316,6392,1553,21766,1227,18157,89,15658,850,13504,744,15888,909,6227,2448,7672,39679,13356,260446,146392,114054,3,18,6,5,10,3,4462,13180,5615,16,489,115,7,131,11,342,24112,2914,16128,42172,18401,1436,7606,2015,6709,26606,15775,785,16278,5446,587,23389,10635,1405,6341,2199,1572,22550,9272,1211,17932,9991,94,15109,5135,829,13474,7272,750,17366,12698,899,6034,3006,2439,7649,3545,50531,17285,284570,162430,122140,4,29,3,8,5382,13650,29,472,12,104,652,28933,20133,46065,1642,8303,7130,22283,1536,18921,1088,27765,2617,9437,2788,27736,1682,17832,99,16873,1045,13078,804,19348,1221,5966,2664,7767,48361,16563,275063,153210,121853,4,21,4,68,5318,12737,30,548,8,137,631,23469,18683,46245,1699,8513,6866,21969,1545,17220,952,24226,2621,10249,2706,27374,1550,19463,100,17436,1082,13298,830,19143,1141,5650,2591,7297
"합계",중구,62936,23334,386648,212533,174115,-,-,2,3,9947,30475,5,689,9,343,402,5462,32867,97809,1484,14172,6141,31793,929,25116,1260,51405,1661,8913,2698,35960,1484,36580,63,18145,454,8307,734,9437,574,3546,2222,8493,60957,22669,390530,210755,179775,-,-,2,3,9369,29402,6,724,10,369,390,4896,31547,98606,1547,14316,6050,33032,914,25013,1217,50108,1694,9169,2752,36078,1483,39020,62,19280,471,8321,747,10104,558,3723,2138,8366,60127,22451,392568,213484,179084,-,-,-,1,5,1,9018,28901,10277,4,706,186,12,357,68,372,7335,1060,30681,95562,48505,1495,13924,4301,6250,34751,19903,957,25640,7809,1301,51429,23596,1780,9455,3123,2758,36390,13837,1501,37159,19733,65,20287,8341,502,8598,4684,760,10342,7751,558,3637,1786,2112,8090,4123,76129,28233,408064,226039,182025,3,3,1,5,10886,27817,23,736,16,390,657,7290,36793,95063,2440,15314,6591,27030,1730,28159,3184,60692,3287,12954,3973,44835,2029,34170,68,20775,647,9905,805,11615,690,3569,2306,7742,70308,25794,386564,213782,172782,1,1,2,11,10469,25587,11,729,17,376,639,7318,32947,80600,2325,14337,6253,26829,1655,28741,2921,63803,3132,12283,3703,42833,1904,35075,65,16141,644,9425,813,11585,632,3258,2175,7632
"합계",용산구,20806,7021,133260,73658,59602,-,-,-,-,1054,3446,4,11,11,142,423,6834,7258,27506,1367,3919,4453,18201,525,9492,292,5921,1083,4426,784,17785,348,10838,50,3219,539,7297,554,6367,410,2188,1651,5668,20813,7153,141216,76498,64718,-,-,-,-,964,3181,4,43,10,150,421,7591,7248,31093,1251,3918,4603,19474,484,9750,266,5085,1139,3807,833,15387,365,15708,47,3149,550,7452,579,6658,408,2831,1641,5939,20254,7074,135240,74570,60670,-,-,-,-,-,-,905,2955,1218,3,5,2,12,145,33,403,6686,1078,6842,31996,12249,1205,3951,793,4594,18282,9864,459,9718,3497,251,5090,2888,1223,4314,1522,858,15994,7239,361,10766,4841,47,3101,1095,537,6973,4594,562,7147,5471,401,2623,1548,1591,5494,2738,31507,11067,154288,86558,67730,4,17,-,-,1436,3827,19,42,22,160,932,9363,11185,38471,1692,4569,5111,16231,1346,11699,386,5007,2244,5501,2190,19215,800,12146,48,3405,815,7793,620,8280,722,2894,1935,5668,29680,10454,152605,84314,68291,4,8,-,-,1371,3508,12,45,22,259,869,6718,10038,37238,1739,4533,4880,16010,1302,11780,566,5809,2137,5379,1999,19026,703,14727,45,3416,844,7352,632,8219,651,3006,1866,5572
"합계",성동구,27278,8237,167308,98497,68811,1,2,-,-,4612,28130,5,410,30,745,649,5981,7250,32412,2683,8295,3786,11744,744,8701,293,4023,1272,5433,1199,11663,385,15503,47,4373,886,11311,743,8357,593,2529,2100,7696,27868,8432,174819,100694,74125,1,3,-,-,4444,27062,13,421,31,782,666,5790,7385,31602,2629,8653,3836,12442,860,10725,314,4131,1371,5520,1447,14631,419,18907,47,4471,961,11371,748,8539,581,2157,2115,7612,28343,8563,178243,102769,75474,2,5,1,-,-,-,4181,26041,9811,18,481,61,31,766,170,655,6330,1063,7457,33180,13738,2781,8814,1060,3935,12957,7589,917,11676,3593,310,3686,2043,1456,5799,2612,1687,16671,6047,448,16877,7972,45,4127,1440,995,11678,7242,754,9255,7353,592,2113,923,2079,7787,2756,41582,13251,196377,111824,84553,7,14,1,1,5549,26202,39,474,34,820,1972,8823,11853,38787,2825,8869,4493,11817,2138,16985,464,4200,2380,6538,3499,20591,981,17941,44,3284,1238,11262,818,9870,852,2323,2395,7576,41665,13447,203221,116978,86243,7,15,1,2,5397,25990,34,469,34,801,2046,7966,11731,41485,2994,9462,4413,12327,2312,19199,456,4372,2401,6426,3572,22785,939,16301,45,5243,1283,10453,815,9635,844,2956,2341,7334
"합계",광진구,24688,8912,125170,69037,56133,1,3,-,-,1853,7616,2,3,16,240,796,12798,6103,19488,2518,6133,4675,16498,391,3791,223,4579,1201,3241,726,4061,440,9998,36,2523,1159,14191,904,10686,1052,3746,2592,5575,24535,8948,127879,69442,58437,1,3,-,-,1707,7198,3,69,16,244,784,13397,5889,19023,2519,5828,4764,17023,345,3720,235,4739,1275,3725,798,4811,451,10213,36,2662,1183,14139,909,11615,1033,3862,2587,5608,24445,8921,126305,67899,58406,-,-,-,-,-,-,1657,6935,3249,3,8,1,16,242,27,782,13131,1692,5758,19389,8928,2495,5240,418,4786,16639,9432,341,3264,1285,221,4117,2003,1345,4073,1375,809,5071,1987,467,9746,4501,36,2678,1051,1209,14184,8105,916,11551,9225,1052,4209,1948,2552,5828,3179,35423,12762,134230,72340,61890,3,4,-,-,2321,7271,21,28,22,260,1791,12450,10062,23213,2900,5825,5261,14877,1068,4418,323,3029,2144,5047,1826,6740,1053,12635,36,2973,1436,13744,978,12372,1211,3486,2967,5858,33706,12297,129707,71124,58583,3,4,-,-,2239,6514,17,25,21,273,1616,13235,9273,21953,2778,5261,5118,14018,1103,4639,274,2886,2146,5009,1751,6711,943,9781,38,3592,1467,14698,981,12785,1139,3202,2799,5121
"합계",동대문구,32411,10677,142842,76058,66784,-,-,1,1,3539,14237,1,3,17,147,775,6270,11272,31474,3602,6889,4909,14047,277,1855,292,5002,1309,4589,591,7425,441,9109,50,4267,985,15117,1006,14693,749,2376,2595,5341,31878,10575,140748,74303,66445,-,-,1,1,3297,13543,1,2,19,148,766,5849,10923,31318,3617,6562,4863,14447,254,2119,275,4314,1359,4598,630,7073,435,8666,50,3443,1000,16243,1031,14494,776,2462,2581,5466,31324,10456,138400,73067,65333,-,-,-,2,4,-,3146,12956,6135,2,3,1,20,143,24,735,5797,932,10599,30950,12959,3523,6520,480,4845,14420,8696,238,1931,866,260,4007,2676,1453,4489,1595,633,7325,2585,446,6985,3969,50,3430,1190,1027,16657,8233,1051,15154,11417,762,2344,1133,2532,5285,2442,43029,14408,148308,79053,69255,1,3,2,6,4036,13827,18,20,33,277,3212,7931,15223,34882,3762,6199,5185,11948,741,2589,365,4172,2164,5437,1297,8868,947,10317,51,3981,1198,13807,1064,16621,879,2287,2851,5136,42813,14480,146383,78105,68278,2,4,1,1,3922,12870,15,16,31,273,3347,7275,14774,33547,3956,6435,5108,11913,781,2595,374,4130,2201,5505,1305,8508,895,8744,49,4023,1288,16173,1085,17183,889,2282,2790,4906
"합계",중랑구,28045,9343,102758,53237,49521,-,-,1,3,3578,16259,6,123,20,214,920,5503,5416,16124,6412,13473,4154,10944,134,1118,150,1713,1061,2757,320,1626,308,2832,47,3350,922,7863,985,11586,896,2302,2715,4968,28024,9410,103016,53541,49475,-,-,1,3,3384,15250,6,109,23,228,912,6006,5296,16071,6550,13092,4152,11212,135,1027,162,1800,1085,2921,336,1643,321,2853,47,3471,936,7773,999,11920,940,2484,2739,5153,28228,9519,103345,53185,50160,-,-,-,-,-,-,3423,14695,8273,6,118,44,21,206,26,965,6429,978,5181,15505,7482,6550,12496,668,4171,11311,6999,142,894,312,158,1741,1080,1161,3100,1137,386,1726,652,350,3092,1208,47,3533,1309,915,7925,5443,1031,13013,10624,968,2543,1219,2753,5018,2706,38558,13112,111086,58836,52250,-,-,1,3,4244,14720,12,180,31,227,4409,10660,8958,18655,5498,10648,4481,9830,616,1712,223,1809,1709,3607,1036,2375,910,3904,47,3635,1078,7816,1100,14115,1063,2269,3142,4921,39310,13471,113144,59221,53923,-,-,2,5,4256,14055,11,112,34,233,4644,10960,9064,18663,5830,10899,4453,9997,674,1723,206,1746,1722,3682,1085,2649,892,4628,47,4108,1151,7668,1111,14806,1029,2273,3099,4937
"합계",성북구,24039,8878,108991,53234,55757,-,-,-,-,2424,9199,5,11,11,177,569,4093,4927,15313,3520,6708,4415,12731,234,1756,151,1600,1099,2673,456,3954,262,5601,52,3915,1372,20652,1065,12533,735,2130,2742,5945,23287,8831,108201,52719,55482,-,-,-,-,2214,8140,5,10,11,178,554,3934,4805,15159,3080,6058,4463,13397,235,1877,145,1512,1125,2708,478,4328,254,5255,52,3301,1382,21481,1044,12835,756,2306,2684,5722,23617,8922,111005,54975,56030,-,-,-,-,-,-,2144,7873,4152,4,8,-,13,171,18,575,4133,712,4697,14662,7220,3557,6130,364,4461,13323,8029,241,1900,711,144,1576,818,1203,3827,1310,480,5384,2189,264,5624,2571,51,3308,1166,1368,21947,11902,1045,13249,10790,745,2323,1088,2625,5567,2990,34420,13193,121798,59311,62487,1,8,-,-,3150,9778,40,46,23,262,1570,6720,9132,18869,3446,6178,4805,11423,1007,3386,221,1552,1906,3935,1378,6381,832,7314,50,3391,1705,18428,1109,16325,1051,2390,2994,5412,34712,13393,124004,60275,63729,1,3,-,-,3138,8743,30,42,24,239,1591,5245,9143,18873,3691,6135,4683,11685,1115,3355,230,1607,1918,3791,1415,7439,773,6400,49,4607,1806,21226,1131,16668,1043,2444,2931,5502
"합계",강북구,18928,6992,71752,33422,38330,-,-,-,-,1541,6621,1,80,9,326,498,2057,3857,10768,3192,6822,3681,10569,101,715,253,4027,789,1776,275,1123,218,3321,44,2750,683,5729,816,8573,721,1972,2249,4523,18918,7065,72418,33306,39112,-,-,-,-,1444,5903,2,84,8,340,506,2133,3768,10625,3218,6625,3719,10674,103,682,267,4074,807,1782,293,1185,216,3440,44,3265,684,5871,813,9195,741,2037,2285,4503,19014,7153,73904,34134,39770,-,-,-,-,-,-,1456,5864,3210,3,84,28,8,338,52,522,2198,400,3823,10726,5370,3108,6305,291,3779,11090,6592,117,759,377,282,3989,2869,811,1876,688,314,1241,576,222,3737,2457,44,3108,1192,683,5911,3966,816,10099,8252,751,2125,990,2275,4454,2460,26711,9965,83276,41265,42011,-,-,-,-,2095,6363,14,97,18,396,1585,6532,6967,12887,2994,6219,4130,9461,502,1279,378,3917,1250,2547,842,1869,691,4396,41,2895,870,5854,857,12312,877,1841,2600,4411,26385,9807,80222,38440,41782,1,1,-,-,2067,5979,10,93,18,349,1582,4290,6807,12912,3102,6203,4001,9460,561,1196,352,4249,1243,2411,824,1985,641,3705,42,3530,890,6164,867,11540,869,1885,2508,4270
